Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Westminster,11 (6 -- 24),Likely increasing,1.1 (0.88 -- 1.4),0.023 (-0.034 -- 0.11),30 (6.1 -- -21)
Wigan,12 (6 -- 27),Likely decreasing,0.83 (0.62 -- 1.2),-0.048 (-0.11 -- 0.05),-15 (14 -- -6.2)
Wiltshire,7 (3 -- 16),Likely decreasing,0.84 (0.58 -- 1.2),-0.045 (-0.12 -- 0.044),-15 (16 -- -5.6)
Windsor and Maidenhead,3 (1 -- 7),Likely decreasing,0.77 (0.53 -- 1),-0.064 (-0.14 -- 0.01),-11 (68 -- -5)
Wirral,2 (0 -- 7),Likely decreasing,0.73 (0.43 -- 1.2),-0.077 (-0.17 -- 0.05),-9 (14 -- -4)
Wokingham,2 (0 -- 4),Likely decreasing,0.8 (0.57 -- 1),-0.058 (-0.13 -- 0.012),-12 (60 -- -5.4)
Wolverhampton,6 (2 -- 14),Likely decreasing,0.73 (0.47 -- 1),-0.079 (-0.16 -- 0.013),-8.8 (52 -- -4.4)
Worcestershire,3 (1 -- 7),Decreasing,0.57 (0.38 -- 0.86),-0.13 (-0.19 -- -0.04),-5.5 (-17 -- -3.6)
Wrexham,3 (1 -- 8),Likely decreasing,0.94 (0.69 -- 1.3),-0.017 (-0.088 -- 0.087),-42 (8 -- -7.8)
York,2 (0 -- 8),Likely decreasing,0.89 (0.58 -- 1.4),-0.03 (-0.12 -- 0.12),-23 (5.9 -- -5.5)
