region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Scotland,2020-10-19,,estimate,-0.007,-0.008,0.009,,,,,,,-0.022,0.008,-0.012,0,-0.009,-0.005
North East and Yorkshire,2020-11-05,,estimate based on partial data,-0.007,-0.008,0.017,,,,,,,-0.038,0.017,-0.019,0.004,-0.009,-0.001
North West,2020-10-22,,estimate,-0.007,-0.007,0.008,,,,,,,-0.021,0.006,-0.012,-0.002,-0.01,-0.006
Scotland,2020-10-31,,estimate,-0.007,-0.007,0.01,,,,,,,-0.023,0.01,-0.014,-0.001,-0.011,-0.006
Scotland,2020-11-01,,estimate,-0.007,-0.007,0.011,,,,,,,-0.024,0.012,-0.015,0,-0.01,-0.005
Scotland,2020-10-18,,estimate,-0.006,-0.007,0.009,,,,,,,-0.021,0.009,-0.012,0,-0.009,-0.004
Wales,2020-10-24,,estimate,-0.006,-0.006,0.01,,,,,,,-0.021,0.012,-0.014,0,-0.008,-0.003
Scotland,2020-11-02,,estimate,-0.006,-0.006,0.012,,,,,,,-0.025,0.014,-0.014,0.001,-0.01,-0.004
South West,2020-09-05,,estimate,-0.006,-0.006,0.016,,,,,,,-0.032,0.019,-0.017,0.004,-0.006,0.002
Northern Ireland,2020-10-10,,estimate,-0.006,-0.005,0.011,,,,,,,-0.022,0.014,-0.012,0.003,-0.007,-0.002
North East and Yorkshire,2020-11-04,,estimate based on partial data,-0.005,-0.006,0.015,,,,,,,-0.03,0.019,-0.013,0.007,-0.009,-0.002
North West,2020-10-21,,estimate,-0.005,-0.005,0.008,,,,,,,-0.019,0.008,-0.011,-0.001,-0.008,-0.004
Scotland,2020-10-17,,estimate,-0.005,-0.005,0.009,,,,,,,-0.021,0.009,-0.011,0,-0.008,-0.003
Scotland,2020-11-03,,estimate,-0.005,-0.005,0.013,,,,,,,-0.026,0.017,-0.014,0.004,-0.011,-0.004
South East,2020-09-09,,estimate,-0.005,-0.005,0.013,,,,,,,-0.025,0.017,-0.014,0.002,-0.009,-0.003
South West,2020-09-06,,estimate,-0.005,-0.005,0.015,,,,,,,-0.031,0.018,-0.017,0.003,-0.009,-0.002
Scotland,2020-11-04,,estimate based on partial data,-0.005,-0.004,0.015,,,,,,,-0.028,0.019,-0.014,0.005,-0.007,0
Scotland,2020-11-13,,estimate based on partial data,-0.005,-0.003,0.037,,,,,,,-0.063,0.056,-0.029,0.015,-0.014,0.001
Scotland,2020-11-14,,estimate based on partial data,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-15,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-16,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-17,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-18,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-19,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-20,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-21,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-22,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-23,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-24,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-25,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-26,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-27,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-11-28,,forecast,-0.005,-0.003,0.04,,,,,,,-0.066,0.063,-0.03,0.016,-0.015,0.002
Scotland,2020-10-16,,estimate,-0.004,-0.004,0.009,,,,,,,-0.019,0.011,-0.01,0.002,-0.008,-0.003
Scotland,2020-11-05,,estimate based on partial data,-0.004,-0.004,0.016,,,,,,,-0.029,0.023,-0.016,0.006,-0.009,-0.001
North West,2020-10-20,,estimate,-0.004,-0.003,0.008,,,,,,,-0.017,0.01,-0.009,0.002,-0.005,-0.001
Scotland,2020-11-06,,estimate based on partial data,-0.004,-0.003,0.018,,,,,,,-0.032,0.027,-0.016,0.008,-0.007,0.002
Scotland,2020-11-11,,estimate based on partial data,-0.004,-0.002,0.031,,,,,,,-0.055,0.046,-0.024,0.014,-0.013,0
Scotland,2020-11-12,,estimate based on partial data,-0.004,-0.002,0.034,,,,,,,-0.059,0.051,-0.029,0.012,-0.014,0.001
Scotland,2020-10-15,,estimate,-0.003,-0.003,0.009,,,,,,,-0.017,0.012,-0.008,0.004,-0.005,0
