Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Mayotte,547 (31 -- 2438),Stable,1 (0.27 -- 1.4),0.0023 (-0.23 -- 0.096),300 (7.2 -- -2.9)
Mexico,6269 (3202 -- 12246),Stable,1 (0.78 -- 1.4),0.0073 (-0.064 -- 0.093),95 (7.4 -- -11)
Moldova,1945 (1245 -- 3158),Likely increasing,1.1 (0.93 -- 1.3),0.03 (-0.019 -- 0.086),23 (8 -- -37)
Monaco,6 (3 -- 14),Likely decreasing,0.88 (0.68 -- 1.2),-0.033 (-0.093 -- 0.041),-21 (17 -- -7.4)
Mongolia,76 (15 -- 478),Likely increasing,1.2 (0.62 -- 2.7),0.061 (-0.11 -- 0.39),11 (1.8 -- -6.1)
Montenegro,568 (395 -- 739),Stable,1 (0.85 -- 1.1),0.0034 (-0.042 -- 0.032),200 (21 -- -16)
Morocco,344 (246 -- 516),Stable,1 (0.92 -- 1.2),0.0031 (-0.023 -- 0.045),230 (15 -- -31)
Mozambique,280 (100 -- 770),Likely decreasing,0.84 (0.54 -- 1.3),-0.045 (-0.14 -- 0.072),-15 (9.7 -- -5)
Myanmar (Burma),7 (0 -- 48),Likely decreasing,0.6 (0.092 -- 1.5),-0.12 (-0.32 -- 0.13),-5.8 (5.4 -- -2.2)
Nepal,74 (48 -- 124),Likely decreasing,0.94 (0.8 -- 1.1),-0.016 (-0.057 -- 0.031),-45 (23 -- -12)
Netherlands,3103 (1811 -- 5093),Likely decreasing,0.83 (0.61 -- 1.1),-0.049 (-0.12 -- 0.018),-14 (38 -- -6)
New Caledonia,0 (0 -- 0),Stable,0.98 (0.55 -- 1.2),-0.0059 (-0.13 -- 0.056),-120 (12 -- -5.2)
New Zealand,4 (2 -- 14),Likely increasing,1 (0.9 -- 1.4),0.0049 (-0.027 -- 0.097),140 (7.2 -- -26)
Nicaragua,2 (0 -- 17),Likely decreasing,0.97 (0.57 -- 1.4),-0.0087 (-0.13 -- 0.12),-79 (6 -- -5.5)
Niger,0 (0 -- 0),Decreasing,0.39 (0.093 -- 0.8),-0.19 (-0.31 -- -0.058),-3.7 (-12 -- -2.2)
Nigeria,260 (121 -- 550),Likely decreasing,0.85 (0.62 -- 1.1),-0.043 (-0.11 -- 0.038),-16 (18 -- -6.2)
North Macedonia,1055 (677 -- 1787),Increasing,1.2 (1.1 -- 1.4),0.056 (0.017 -- 0.11),12 (6.3 -- 41)
Northern Mariana Islands,0 (0 -- 1),Stable,0.98 (0.65 -- 1.3),-0.0043 (-0.1 -- 0.084),-160 (8.2 -- -6.7)
Norway,1166 (454 -- 3527),Likely increasing,1.3 (0.93 -- 1.9),0.076 (-0.018 -- 0.22),9.1 (3.2 -- -38)
Oman,565 (342 -- 960),Likely increasing,1.1 (0.94 -- 1.2),0.022 (-0.016 -- 0.061),32 (11 -- -43)
Pakistan,1727 (1181 -- 2503),Likely increasing,1.1 (0.9 -- 1.3),0.02 (-0.028 -- 0.071),34 (9.7 -- -25)
Palestinian Territories,2914 (1814 -- 4563),Likely increasing,1.1 (0.91 -- 1.3),0.032 (-0.026 -- 0.089),21 (7.8 -- -26)
Panama,533 (320 -- 839),Likely decreasing,0.96 (0.76 -- 1.1),-0.011 (-0.067 -- 0.04),-65 (17 -- -10)
Papua New Guinea,183 (31 -- 1305),Likely increasing,1.4 (0.86 -- 2.1),0.11 (-0.039 -- 0.27),6.3 (2.5 -- -18)
Paraguay,1354 (943 -- 1922),Likely increasing,1.1 (0.9 -- 1.2),0.014 (-0.027 -- 0.045),50 (15 -- -26)
Peru,4141 (2062 -- 7278),Likely decreasing,0.88 (0.64 -- 1.1),-0.034 (-0.11 -- 0.027),-20 (26 -- -6.5)
Philippines,3131 (2101 -- 4876),Likely increasing,1.1 (0.94 -- 1.3),0.029 (-0.018 -- 0.083),24 (8.4 -- -39)
Poland,18125 (10889 -- 29558),Likely increasing,1.2 (0.94 -- 1.4),0.042 (-0.016 -- 0.098),17 (7.1 -- -42)
Portugal,842 (308 -- 2408),Likely increasing,1.1 (0.71 -- 1.8),0.035 (-0.084 -- 0.2),20 (3.4 -- -8.2)
Puerto Rico,104 (65 -- 179),Likely decreasing,0.89 (0.78 -- 1),-0.031 (-0.062 -- 0.0069),-23 (100 -- -11)
