region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Sierra Leone,0.89 (0.63 -- 1.3),0.89,0.93,0.23,0.63,0.8,0.85,0.93,1,1.3,Effective reproduction no.,Likely decreasing,0.73
Anguilla,0.88 (0.32 -- 2.1),0.88,1,0.65,0.32,0.63,0.79,0.99,1.2,2.1,Effective reproduction no.,Likely decreasing,0.61
Cuba,0.88 (0.68 -- 1),0.88,0.87,0.11,0.68,0.81,0.85,0.9,0.94,1,Effective reproduction no.,Likely decreasing,0.92
Mongolia,0.88 (0.67 -- 1.1),0.88,0.89,0.15,0.67,0.8,0.85,0.92,0.97,1.1,Effective reproduction no.,Likely decreasing,0.8
Nepal,0.88 (0.72 -- 1),0.88,0.87,0.092,0.72,0.82,0.86,0.9,0.94,1,Effective reproduction no.,Likely decreasing,0.92
Rwanda,0.88 (0.62 -- 1.1),0.88,0.87,0.15,0.62,0.79,0.85,0.9,0.94,1.1,Effective reproduction no.,Likely decreasing,0.89
United States,0.88 (0.61 -- 1.2),0.88,0.88,0.17,0.61,0.78,0.85,0.92,0.98,1.2,Effective reproduction no.,Likely decreasing,0.79
Northern Mariana Islands,0.86 (0.46 -- 1.3),0.86,0.87,0.28,0.46,0.71,0.81,0.91,1,1.3,Effective reproduction no.,Likely decreasing,0.76
Portugal,0.86 (0.67 -- 1.1),0.86,0.86,0.12,0.67,0.79,0.83,0.89,0.94,1.1,Effective reproduction no.,Likely decreasing,0.88
Zimbabwe,0.86 (0.4 -- 1.4),0.86,0.87,0.31,0.4,0.66,0.78,0.93,1.1,1.4,Effective reproduction no.,Likely decreasing,0.69
Canada,0.85 (0.51 -- 1.2),0.85,0.85,0.22,0.51,0.71,0.8,0.9,0.98,1.2,Effective reproduction no.,Likely decreasing,0.79
Kenya,0.85 (0.63 -- 1.1),0.85,0.86,0.16,0.63,0.76,0.82,0.88,0.95,1.1,Effective reproduction no.,Likely decreasing,0.83
Nigeria,0.85 (0.54 -- 1.2),0.85,0.85,0.21,0.54,0.73,0.8,0.88,0.96,1.2,Effective reproduction no.,Likely decreasing,0.82
Palestinian Territories,0.85 (0.54 -- 1.3),0.85,0.88,0.24,0.54,0.72,0.8,0.9,1,1.3,Effective reproduction no.,Likely decreasing,0.75
Congo - Kinshasa,0.84 (0.62 -- 1.1),0.84,0.84,0.14,0.62,0.77,0.82,0.87,0.9,1.1,Effective reproduction no.,Likely decreasing,0.92
Mauritania,0.84 (0.6 -- 1.2),0.84,0.86,0.2,0.6,0.74,0.8,0.88,0.95,1.2,Effective reproduction no.,Likely decreasing,0.82
Mauritius,0.84 (0.48 -- 1.2),0.84,0.86,0.33,0.48,0.7,0.79,0.88,0.97,1.2,Effective reproduction no.,Likely decreasing,0.79
Bahrain,0.83 (0.58 -- 1.1),0.83,0.83,0.17,0.58,0.72,0.79,0.86,0.93,1.1,Effective reproduction no.,Likely decreasing,0.86
Laos,0.83 (0.41 -- 1.3),0.83,0.84,0.27,0.41,0.65,0.76,0.89,1,1.3,Effective reproduction no.,Likely decreasing,0.74
