region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Ireland,3 (1 -- 12),3,4,4,1,2,2,4,5,12,New confirmed cases by infection date,Stable,0.43
Jamaica,3 (1 -- 6),3,3,1,1,2,2,3,4,6,New confirmed cases by infection date,Likely decreasing,0.8
Papua New Guinea,3 (0 -- 15),3,5,6,0,2,3,4,6,15,New confirmed cases by infection date,Likely decreasing,0.69
Sudan,3 (0 -- 19),3,6,9,0,1,2,4,6,19,New confirmed cases by infection date,Stable,0.54
Syria,3 (1 -- 6),3,3,1,1,2,2,3,4,6,New confirmed cases by infection date,Likely decreasing,0.79
Uzbekistan,3 (1 -- 6),3,3,1,1,2,3,3,4,6,New confirmed cases by infection date,Likely increasing,0.3
Chad,2 (0 -- 10),2,3,5,0,1,1,2,4,10,New confirmed cases by infection date,Increasing,0.0062
Congo - Brazzaville,2 (0 -- 7),2,2,2,0,1,1,2,3,7,New confirmed cases by infection date,Likely decreasing,0.6
Costa Rica,2 (1 -- 4),2,2,0,1,2,2,2,3,4,New confirmed cases by infection date,Decreasing,0.97
Kyrgyzstan,2 (0 -- 8),2,3,2,0,1,2,3,4,8,New confirmed cases by infection date,Stable,0.48
Luxembourg,2 (0 -- 6),2,2,1,0,1,2,2,3,6,New confirmed cases by infection date,Likely increasing,0.16
Martinique,2 (0 -- 10),2,3,5,0,1,1,2,4,10,New confirmed cases by infection date,Likely increasing,0.26
Mauritania,2 (0 -- 9),2,3,3,0,1,1,2,4,9,New confirmed cases by infection date,Likely increasing,0.32
Mongolia,2 (1 -- 5),2,2,1,1,1,2,2,3,5,New confirmed cases by infection date,Decreasing,0.96
Niger,2 (0 -- 8),2,3,2,0,1,2,3,4,8,New confirmed cases by infection date,Likely increasing,0.27
Palestinian Territories,2 (1 -- 5),2,2,1,1,1,2,2,3,5,New confirmed cases by infection date,Likely decreasing,0.64
Chad,1.7 (1.2 -- 2.5),1.7,1.8,0.42,1.2,1.5,1.6,1.8,2,2.5,Effective reproduction no.,Increasing,0.0062
Andorra,1.5 (0.89 -- 2.8),1.5,1.7,0.64,0.89,1.2,1.4,1.7,1.9,2.8,Effective reproduction no.,Likely increasing,0.086
Equatorial Guinea,1.2 (0.65 -- 2.5),1.2,1.4,0.6,0.65,0.95,1.1,1.4,1.6,2.5,Effective reproduction no.,Likely increasing,0.3
France,1.2 (0.97 -- 1.5),1.2,1.2,0.16,0.97,1.1,1.2,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.08
Laos,1.2 (1 -- 1.4),1.2,1.2,0.14,1,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.05
Luxembourg,1.2 (0.9 -- 1.5),1.2,1.2,0.2,0.9,1.1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.16
Mauritius,1.2 (0.93 -- 1.6),1.2,1.2,0.2,0.93,1.1,1.2,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.1
Norway,1.2 (0.88 -- 1.5),1.2,1.2,0.19,0.88,1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.19
Paraguay,1.2 (0.95 -- 1.4),1.2,1.2,0.13,0.95,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.11
Vietnam,1.2 (0.89 -- 1.6),1.2,1.2,0.22,0.89,1.1,1.2,1.3,1.4,1.6,Effective reproduction no.,Likely increasing,0.14
Bahamas,1.1 (0.82 -- 1.5),1.1,1.1,0.21,0.82,0.96,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.35
Bolivia,1.1 (0.87 -- 1.4),1.1,1.1,0.17,0.87,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.22
Burkina Faso,1.1 (0.83 -- 1.5),1.1,1.1,0.21,0.83,1,1.1,1.2,1.2,1.5,Effective reproduction no.,Likely increasing,0.25
Chile,1.1 (0.94 -- 1.2),1.1,1.1,0.088,0.94,1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.16
Curaçao,1.1 (0.66 -- 1.7),1.1,1.1,0.33,0.66,0.88,0.99,1.1,1.3,1.7,Effective reproduction no.,Stable,0.41
Cyprus,1.1 (0.87 -- 1.4),1.1,1.1,0.17,0.87,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.25
Denmark,1.1 (0.95 -- 1.3),1.1,1.1,0.12,0.95,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Likely increasing,0.11
Ecuador,1.1 (0.59 -- 1.9),1.1,1.2,0.42,0.59,0.86,1,1.2,1.4,1.9,Effective reproduction no.,Stable,0.4
Germany,1.1 (0.94 -- 1.3),1.1,1.1,0.12,0.94,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.16
Hungary,1.1 (0.93 -- 1.3),1.1,1.1,0.12,0.93,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.17
Jersey,1.1 (0.59 -- 2),1.1,1.2,0.45,0.59,0.87,1,1.2,1.4,2,Effective reproduction no.,Likely increasing,0.39
Malawi,1.1 (0.72 -- 1.7),1.1,1.2,0.31,0.72,0.95,1.1,1.2,1.4,1.7,Effective reproduction no.,Likely increasing,0.31
