source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
united-kingdom,England,2020-11-02,,1.03601339332144,1.03765302815372,0.0338336745870836,0.984780243469002,1.01462960527174,1.02742689553963,1.04376909222698,1.05867047532497,1.09648540859139
united-kingdom,England,2020-11-03,,1.02065683022916,1.02203860362056,0.0329632709100397,0.97079604850215,0.999257679784808,1.01212748565161,1.02860922799241,1.0426829074607,1.07864677790424
united-kingdom,England,2020-11-04,,1.0022973443142,1.00373561835622,0.0316988457415552,0.955127737904611,0.981786172135451,0.994129333442862,1.00972608586064,1.02327926572244,1.05936692981583
united-kingdom,England,2020-11-05,,0.981866769099577,0.983418907704144,0.0301757833097791,0.936680311145865,0.962243335906087,0.974400634593036,0.989258234120367,1.00180955640912,1.03714156928392
united-kingdom,England,2020-11-06,,0.960444384722659,0.96185258574505,0.0285909539556434,0.917619844226532,0.942115018220989,0.952949800530082,0.967543404256766,0.979587588703137,1.01240819336457
united-kingdom,England,2020-11-07,,0.938681207295174,0.93984267678155,0.0271738181205558,0.897535203298232,0.921440491554621,0.93210452490829,0.945374849967689,0.957320313637338,0.986116960929633
united-kingdom,England,2020-11-08,,0.917627242615861,0.918191196625574,0.0261273509643982,0.875476256709561,0.900933296117377,0.911226094840575,0.924133054186785,0.934572110928876,0.961946411536028
united-kingdom,England,2020-11-09,,0.897864150031262,0.897656498876813,0.0255596517649765,0.855091394301887,0.88135100266755,0.891998998272912,0.903666362566963,0.913819765081606,0.939659358474577
united-kingdom,England,2020-11-10,,0.879704018988332,0.878923115495736,0.0254478887860075,0.836227930619214,0.863152906645036,0.873589951440331,0.88507065611196,0.895332280861129,0.919511380476606
united-kingdom,England,2020-11-11,,0.86360727186664,0.862582246564549,0.0256626428882849,0.819288974702637,0.846750745725107,0.857220621663568,0.869533145581407,0.879472434022963,0.902046148536104
united-kingdom,England,2020-11-12,,0.850131214143871,0.849122134075538,0.0260332521282828,0.804658943660367,0.832637584437894,0.843835592943852,0.856624978636479,0.866689819037419,0.889727791922976
united-kingdom,England,2020-11-13,,0.840300075140441,0.838926277513949,0.0264085882828951,0.793400766291125,0.821985905730011,0.833430910011054,0.846197983999422,0.857033316797121,0.88073487859358
united-kingdom,England,2020-11-14,,0.833179133293759,0.832276974179463,0.0266873042509674,0.786787271116598,0.815318593010166,0.826666276341628,0.840041205858019,0.850546528555702,0.87431938549769
united-kingdom,England,2020-11-15,,0.83008036787766,0.829361847966101,0.0268207025374859,0.783688731156137,0.812019140064884,0.823227301294401,0.837039147433501,0.847839993361166,0.871858187447268
united-kingdom,England,2020-11-16,,0.830728695143346,0.83028156573222,0.0268024844243983,0.785013780825427,0.812906759983276,0.823878098090253,0.837788309801217,0.84856358033719,0.873720780314255
united-kingdom,England,2020-11-17,,0.835667544630701,0.835057541091213,0.0266569138911259,0.790179194593728,0.817588795460131,0.828646496731916,0.842233785434807,0.853490672998377,0.877907412025455
united-kingdom,England,2020-11-18,,0.844200086790868,0.843638915635595,0.0264305018088282,0.79909141986732,0.826177333301073,0.837462714014477,0.850862530921113,0.861594667557535,0.886184099139896
united-kingdom,England,2020-11-19,,0.856720578458838,0.85590844354017,0.0261864117403362,0.811473993374125,0.838959349936666,0.85028316620817,0.863255782893056,0.873522696749488,0.89767214880605
united-kingdom,England,2020-11-20,,0.872936878173612,0.87168712951299,0.0259970848977059,0.827086135360916,0.854560743120716,0.86620673266029,0.879055209680941,0.889538018410214,0.912388871245719
united-kingdom,England,2020-11-21,,0.891552504360437,0.89073763506542,0.0259312735876883,0.846216165330307,0.87360959805219,0.885301013144637,0.89794172523063,0.908742702049605,0.931258337456001
united-kingdom,England,2020-11-22,,0.913318078151967,0.912766579696932,0.0260376437558422,0.86876546661145,0.89522714525578,0.906859380718191,0.919589200567054,0.930488457429141,0.954207139035672
united-kingdom,England,2020-11-23,,0.937640405232185,0.937425888064396,0.0263338526892101,0.893619081213381,0.920239684043435,0.931275857376315,0.944123250500248,0.95415811112085,0.979241710186409
united-kingdom,England,2020-11-24,,0.964220383290241,0.964313276901134,0.0268090279328743,0.921426869883601,0.946635257196028,0.957809132630371,0.970862673952594,0.980747448533656,1.00806371706037
united-kingdom,England,2020-11-25,,0.992487072684001,0.992971955971158,0.0274370841611281,0.949034003525196,0.975037895600169,0.985927921985965,0.998849172774954,1.00984444473428,1.0370703867236
united-kingdom,England,2020-11-26,,1.02197935238125,1.02288983518764,0.0281891684135934,0.977764780457285,1.00454757291883,1.0153225116594,1.02860845199555,1.04047862600799,1.06914184664683
united-kingdom,England,2020-11-27,,1.0524638643915,1.05349910671689,0.0290363520503795,1.00716836560741,1.03450275190632,1.04533215269204,1.05944898997357,1.07226046815969,1.10200878626392
united-kingdom,England,2020-11-28,,1.08317801566136,1.08417789917121,0.0299446089733671,1.0372627772257,1.06386919954611,1.07575567141832,1.09004297753375,1.10359356872269,1.13516817098596
united-kingdom,England,2020-11-29,,1.11272896527892,1.11425645002518,0.0308707861364845,1.06616738321037,1.09307473018723,1.1052482556274,1.1201939900942,1.1340531962076,1.16860120433782
united-kingdom,England,2020-11-30,,1.14146600538496,1.14303051712944,0.0317653066665721,1.09420951408855,1.12122584596812,1.13379906790469,1.14903047449159,1.16373654569843,1.19747924386698
united-kingdom,England,2020-12-01,,1.16786483092692,1.16978426828652,0.0325799728715536,1.1190941486493,1.14739901341732,1.15988930482277,1.17608573125423,1.19115963615802,1.22563085660857
united-kingdom,England,2020-12-02,,1.1922697990257,1.19382357175073,0.0332745759015411,1.14188729064589,1.17088930436572,1.18409660878863,1.20041705136681,1.21496039540596,1.25166246622467
